Time (s),Sample #,Amplitude,BPM,Lead Off
0.053,1,13,0.0,0
0.053,2,12,0.0,0
0.053,3,11,0.0,0
0.053,4,9,0.0,0
0.053,5,7,0.0,0
0.084,6,6,0.0,0
0.084,7,5,0.0,0
0.084,8,3,0.0,0
0.084,9,2,0.0,0
0.084,10,0,0.0,1
0.084,11,-1,0.0,0
0.097,12,-2,0.0,0
0.097,13,-4,0.0,0
0.097,14,-5,0.0,0
0.097,15,-6,0.0,0
0.097,16,-7,0.0,0
0.112,17,-7,0.0,0
0.112,18,-8,0.0,0
0.112,19,-9,0.0,0
0.112,20,-9,0.0,0
0.112,21,-8,0.0,0
0.145,22,-7,0.0,0
0.145,23,-7,0.0,0
0.145,24,-7,0.0,0
0.145,25,-7,0.0,0
0.145,26,-6,0.0,0
0.158,27,-6,0.0,0
0.158,28,-6,0.0,0
0.158,29,-5,0.0,0
0.158,30,-4,0.0,0
0.158,31,-3,0.0,0
0.187,32,-2,0.0,0
0.187,33,-1,0.0,0
0.187,34,0,0.0,1
0.187,35,0,0.0,1
0.187,36,1,0.0,0
0.187,37,3,0.0,0
0.202,38,3,0.0,0
0.202,39,4,0.0,0
0.202,40,4,0.0,0
0.204,41,4,0.0,0
0.204,42,4,0.0,0
0.204,43,3,0.0,0
0.204,44,3,0.0,0
0.217,45,3,0.0,0
0.217,46,3,0.0,0
0.217,47,3,0.0,0
0.217,48,3,0.0,0
0.217,49,2,0.0,0
0.217,50,2,0.0,0
0.217,51,1,0.0,0
0.247,52,1,0.0,0
0.247,53,0,0.0,1
0.247,54,0,0.0,1
0.247,55,0,0.0,1
0.247,56,0,0.0,1
0.247,57,-1,0.0,0
0.263,58,-2,0.0,0
0.263,59,-2,0.0,0
0.263,60,-2,0.0,0
0.263,61,-3,0.0,0
0.263,62,-3,0.0,0
0.292,63,-3,0.0,0
0.292,64,-3,0.0,0
0.293,65,-3,0.0,0
0.293,66,-4,0.0,0
0.293,67,-4,0.0,0
0.307,68,-4,0.0,0
0.307,69,-4,0.0,0
0.307,70,-4,0.0,0
0.308,71,-4,0.0,0
0.308,72,-4,0.0,0
0.323,73,-4,0.0,0
0.323,74,-4,0.0,0
0.323,75,-3,0.0,0
0.323,76,-3,0.0,0
0.323,77,-3,0.0,0
0.352,78,-4,0.0,0
0.352,79,-4,0.0,0
0.352,80,-4,0.0,0
0.352,81,-4,0.0,0
0.352,82,-3,0.0,0
0.368,83,-3,0.0,0
0.368,84,-3,0.0,0
0.368,85,-2,0.0,0
0.368,86,-1,0.0,0
0.368,87,0,0.0,1
0.399,88,2,0.0,0
0.399,89,5,0.0,0
0.399,90,7,0.0,0
0.399,91,9,0.0,0
0.399,92,11,0.0,0
0.399,93,15,0.0,0
0.412,94,20,0.0,0
0.412,95,28,0.0,0
0.412,96,36,0.0,0
0.412,97,43,0.0,0
0.412,98,49,0.0,0
