Time (s),Sample #,Amplitude
0.055,1,7
0.055,2,12
0.055,3,7
0.055,4,2
0.055,5,-1
0.069,6,-5
0.069,7,-7
0.069,8,-10
0.069,9,-13
0.069,10,-15
0.070,11,-18
0.070,12,-20
0.070,13,-21
0.070,14,-22
0.100,15,-23
0.100,16,-27
0.100,17,-36
0.100,18,-51
0.117,19,-69
0.117,20,-85
0.117,21,-90
0.117,22,-70
0.160,23,-23
0.160,24,36
0.160,25,108
0.160,26,172
0.161,27,227
0.161,28,276
0.161,29,300
0.161,30,286
0.178,31,235
0.178,32,152
0.178,33,67
0.178,34,2
0.204,35,-34
0.204,36,-50
0.204,37,-58
0.204,38,-62
0.224,39,-68
0.224,40,-73
0.225,41,-75
0.225,42,-76
0.252,43,-77
0.252,44,-76
0.252,45,-76
0.252,46,-74
0.266,47,-72
0.266,48,-70
0.266,49,-68
0.266,50,-65
0.286,51,-62
0.286,52,-60
0.286,53,-58
0.286,54,-55
0.310,55,-53
0.310,56,-50
0.310,57,-47
0.310,58,-44
0.324,59,-42
0.324,60,-40
0.325,61,-38
0.325,62,-36
0.358,63,-32
0.358,64,-30
0.358,65,-26
0.358,66,-23
0.370,67,-20
0.370,68,-17
0.370,69,-13
0.370,70,-8
0.370,71,-5
0.384,72,-2
0.384,73,0
0.384,74,2
0.384,75,4
0.384,76,6
0.384,77,7
0.416,78,9
0.416,79,11
0.416,80,12
0.416,81,12
0.416,82,11
0.430,83,10
0.430,84,8
0.430,85,7
0.430,86,6
0.430,87,3
0.430,88,1
0.430,89,-1
0.460,90,-4
0.460,91,-6
0.460,92,-9
0.460,93,-11
0.476,94,-13
0.476,95,-15
0.476,96,-18
0.476,97,-20
0.489,98,-23
0.489,99,-24
0.489,100,-26
0.489,101,-27
0.519,102,-27
0.519,103,-27
0.519,104,-27
0.519,105,-27
0.535,106,-26
0.535,107,-26
0.535,108,-25
0.535,109,-25
0.550,110,-24
0.550,111,-23
0.550,112,-22
0.550,113,-22
